"MatchId";"Team";"Min";"Pts";"O";"D";"T";"As";"St";"To";"Fv";"Ag";"Cm";"Rv";"PIR";"x2M";"x2A";"x3M";"x3A";"FTM";"FTA";"Opponent";"Local"
34;"ALBA Berlin";200;66;14;19;33;20;10;15;0;1;21;22;64;16;40;7;24;13;22;"CSKA Moscow";1
35;"AX Armani Exchange Milan";200;87;12;27;39;20;5;13;1;1;23;19;100;21;42;9;19;18;21;"Fenerbahce Beko Istanbul";1
36;"KIROLBET Baskonia Vitoria-Gasteiz";200;82;19;32;51;12;4;8;8;2;17;14;102;22;45;10;28;8;9;"Olympiacos Piraeus";1
37;"Khimki Moscow Region";200;103;14;31;45;25;1;17;6;1;21;17;128;22;37;15;29;14;15;"Panathinaikos OPAP Athens";1
38;"Anadolu Efes Istanbul";200;85;8;25;33;15;8;20;1;0;15;21;98;14;26;13;30;18;19;"Crvena Zvezda mts Belgrade";1
39;"ALBA Berlin";200;78;13;21;34;15;10;13;2;2;20;21;81;9;28;14;37;18;20;"AX Armani Exchange Milan";1
4;"Real Madrid";200;81;7;20;27;23;10;15;2;1;21;20;96;20;33;11;24;8;12;"Fenerbahce Beko Istanbul";1
40;"LDLC ASVEL Villeurbanne";200;66;10;24;34;17;4;12;5;3;20;28;78;13;33;8;21;16;24;"KIROLBET Baskonia Vitoria-Gasteiz";1
41;"CSKA Moscow";200;79;8;28;36;18;4;12;1;1;24;18;83;22;36;7;26;14;17;"Olympiacos Piraeus";1
42;"Zalgiris Kaunas";225;70;17;25;42;13;4;18;3;8;26;21;57;14;37;7;27;21;22;"Zenit St Petersburg";1
43;"Maccabi FOX Tel Aviv";200;67;15;29;44;14;10;16;4;1;20;24;80;17;37;6;20;15;27;"Fenerbahce Beko Istanbul";1
44;"FC Bayern Munich";200;95;9;27;36;23;4;12;1;4;25;22;108;32;51;6;15;13;17;"Real Madrid";1
45;"FC Barcelona";200;83;7;30;37;14;3;10;1;3;21;20;92;19;35;8;21;21;24;"Valencia Basket";1
46;"Crvena Zvezda mts Belgrade";200;90;10;27;37;23;7;9;2;4;25;23;107;21;41;11;23;15;20;"Khimki Moscow Region";1
47;"Panathinaikos OPAP Athens";200;86;9;30;39;19;6;12;3;1;21;18;103;25;43;9;20;9;14;"Anadolu Efes Istanbul";1
