"MatchId";"Opponent";"Team";"Min.x";"Pts";"O";"D";"T";"As";"St";"To";"Fv";"Ag";"Cm";"Rv";"PIR";"x2M";"x2A";"x3M";"x3A";"FTM";"FTA";"Local";"Min.y";"Pts_Opp";"O_Opp";"D_Opp";"T_Opp";"As_Opp";"St_Opp";"To_Opp";"Fv_Opp";"Ag_Opp";"Cm_Opp";"Rv_Opp";"PIR_Opp";"x2M_Opp";"x2A_Opp";"x3M_Opp";"x3A_Opp";"FTM_Opp";"FTA_Opp";"Poss";"Off_Rat";"Def_Rat";"eFG";"eFG_Opp";"TS";"TS_Opp";"Off_Reb";"Def_Reb";"Pct_ass";"Pct_ass_opp";"Pct_To";"Pct_To_opp";"FTR";"FTR_opp";"Win";"Expected_Wins";"Off_Reb_Opp"
118;"Maccabi FOX Tel Aviv";"Zenit St Petersburg";200;71;17;20;37;14;8;18;1;4;21;18;62;16;36;9;31;12;14;1;200;82;5;24;29;22;10;17;4;1;18;21;103;20;35;8;18;18;22;73,6;0,964673913043478;1,11413043478261;0,440298507462687;0,60377358490566;0,970475669764899;1,30823229100191;0,414634146341463;0,8;0,190217391304348;0,298913043478261;0,244565217391304;0,230978260869565;0,17910447761194;0,339622641509434;0;0,117476077070425;0,2
118;"Zenit St Petersburg";"Maccabi FOX Tel Aviv";200;82;5;24;29;22;10;17;4;1;18;21;103;20;35;8;18;18;22;0;200;71;17;20;37;14;8;18;1;4;21;18;62;16;36;9;31;12;14;73,8;1,11111111111111;0,962059620596206;0,60377358490566;0,440298507462687;1,30823229100191;0,970475669764899;0,2;0,585365853658537;0,29810298102981;0,18970189701897;0,230352303523035;0,24390243902439;0,339622641509434;0,17910447761194;1;0,882523922929575;0,414634146341463
119;"Anadolu Efes Istanbul";"Zalgiris Kaunas";200;68;13;19;32;18;5;13;2;2;17;21;76;15;32;9;27;11;14;1;200;74;17;24;41;16;8;12;2;2;21;17;87;27;49;6;20;2;2;64,6;1,05263157894737;1,14551083591331;0,483050847457627;0,521739130434783;1,04358502148557;1,05895821408128;0,351351351351351;0,527777777777778;0,278637770897833;0,247678018575851;0,201238390092879;0,185758513931889;0,186440677966102;0,0289855072463768;0;0,234369018239593;0,472222222222222
119;"Zalgiris Kaunas";"Anadolu Efes Istanbul";200;74;17;24;41;16;8;12;2;2;21;17;87;27;49;6;20;2;2;0;200;68;13;19;32;18;5;13;2;2;17;21;76;15;32;9;27;11;14;64,8;1,14197530864198;1,04938271604938;0,521739130434783;0,483050847457627;1,05895821408128;1,04358502148557;0,472222222222222;0,648648648648649;0,246913580246914;0,277777777777778;0,185185185185185;0,200617283950617;0,0289855072463768;0,186440677966102;1;0,765630981760407;0,351351351351351
12;"LDLC ASVEL Villeurbanne";"Panathinaikos OPAP Athens";200;78;11;22;33;14;6;17;3;3;19;21;76;20;35;8;20;14;27;0;200;79;18;18;36;18;8;13;3;3;21;19;85;23;46;7;22;12;15;71,8;1,08635097493036;1,10027855153203;0,581818181818182;0,492647058823529;1,16626794258373;1,05898123324397;0,379310344827586;0,55;0,194986072423398;0,250696378830084;0,236768802228412;0,181058495821727;0,254545454545455;0,176470588235294;0;0,455531217128303;0,45
12;"Panathinaikos OPAP Athens";"LDLC ASVEL Villeurbanne";200;79;18;18;36;18;8;13;3;3;21;19;85;23;46;7;22;12;15;1;200;78;11;22;33;14;6;17;3;3;19;21;76;20;35;8;20;14;27;69;1,14492753623188;1,1304347826087;0,492647058823529;0,581818181818182;1,05898123324397;1,16626794258373;0,45;0,620689655172414;0,260869565217391;0,202898550724638;0,188405797101449;0,246376811594203;0,176470588235294;0,254545454545455;1;0,544468782871697;0,379310344827586
120;"AX Armani Exchange Milan";"Real Madrid";200;76;8;24;32;21;5;7;4;1;18;22;94;20;37;8;28;12;15;1;200;67;14;29;43;7;0;14;1;4;23;18;55;22;49;5;14;8;12;70;1,08571428571429;0,957142857142857;0,492307692307692;0,468253968253968;1,06145251396648;0,981253661394259;0,216216216216216;0,631578947368421;0,3;0,1;0,1;0,2;0,184615384615385;0,126984126984127;1;0,8537811085782;0,368421052631579
120;"Real Madrid";"AX Armani Exchange Milan";200;67;14;29;43;7;0;14;1;4;23;18;55;22;49;5;14;8;12;0;200;76;8;24;32;21;5;7;4;1;18;22;94;20;37;8;28;12;15;67,8;0,988200589970502;1,12094395280236;0,468253968253968;0,492307692307692;0,981253661394259;1,06145251396648;0,368421052631579;0,783783783783784;0,103244837758112;0,309734513274336;0,206489675516224;0,103244837758112;0,126984126984127;0,184615384615385;0;0,1462188914218;0,216216216216216
121;"Fenerbahce Beko Istanbul";"Panathinaikos OPAP Athens";200;81;12;25;37;16;6;19;0;1;23;22;84;20;33;6;20;23;31;1;200;78;9;18;27;18;11;11;1;0;22;23;89;22;38;5;23;19;21;72,4;1,11878453038674;1,07734806629834;0,547169811320755;0,483606557377049;1,21548619447779;1,11047835990888;0,4;0,735294117647059;0,220994475138122;0,248618784530387;0,262430939226519;0,151933701657459;0,433962264150943;0,311475409836066;1;0,629101598256136;0,264705882352941
121;"Panathinaikos OPAP Athens";"Fenerbahce Beko Istanbul";200;78;9;18;27;18;11;11;1;0;22;23;89;22;38;5;23;19;21;0;200;81;12;25;37;16;6;19;0;1;23;22;84;20;33;6;20;23;31;71,4;1,09243697478992;1,13445378151261;0,483606557377049;0,547169811320755;1,11047835990888;1,21548619447779;0,264705882352941;0,6;0,252100840336134;0,224089635854342;0,15406162464986;0,266106442577031;0,311475409836066;0,433962264150943;0;0,370898401743864;0,4
